Time Horizon,THA total QALYs,ORIF total QALYs,Δ QALYs (THA - ORIF),THA per-patient QALYs,ORIF per-patient QALYs
90 days,202.5,185.0,17.5,0.2025,0.185
1 year,730.6785538124216,637.960204142742,92.71834966967958,0.7306785538124215,0.637960204142742
2 years,1406.4262866711267,1233.1816915749723,173.2445950961544,1.4064262866711268,1.2331816915749723
5 years,3357.436364140588,2972.778069622771,384.658294517817,3.357436364140588,2.972778069622771
10 years,6280.114253609045,5607.501854631557,672.6123989774878,6.280114253609045,5.607501854631557
