Time Horizon,THA total cost (USD),ORIF total cost (USD),Δ Cost (ORIF - THA),THA per-patient cost (USD),ORIF per-patient cost (USD)
90 days,42293541.057023615,56369596.80050633,14076055.743482716,42293.54105702361,56369.59680050633
1 year,44697964.45412915,60535397.835224174,15837433.381095022,44697.96445412915,60535.397835224176
2 years,45807669.51674585,63463480.123191126,17655810.606445275,45807.66951674585,63463.480123191126
5 years,49528585.95351132,65798336.910619825,16269750.957108505,49528.58595351132,65798.33691061982
10 years,57092444.08056606,69444749.07402484,12352304.993458778,57092.44408056606,69444.74907402485
